Key,Source,Context,Example,en
DLG.ABU.NACER.01,"Te damos la bienvenida al mundo, {nombre}. Valmar te estaba esperando.",1.1 Nacimiento y bebé · Abu,{nombre}=Lucía,
DLG.ABU.NACER.02,Mira qué manitas tan pequeñas… ¡y qué ganas de explorar!,1.1 Nacimiento y bebé · Abu,,
DLG.ABU.BEBE.01,¿Oyes eso? ¡Es tu sonajero! Gatea hasta él.,1.1 Nacimiento y bebé · Abu,,
DLG.ABU.BEBE.02,"Si arrastras la pantalla, puedes mirar a tu alrededor.",1.1 Nacimiento y bebé · Abu,,
DLG.ABU.BEBE.03,¡Toca el piano! Mantén pulsado para usar las cosas.,1.1 Nacimiento y bebé · Abu,,
DLG.ABU.BEBE.04,"Uy, esa barriguita… Llama a tu familia y te darán el biberón.",1.1 Nacimiento y bebé · Abu,,
DLG.ABU.BEBE.05,"Ese circulito es tu hambre. Cuando baje, ¡a comer!",1.1 Nacimiento y bebé · Abu,,
DLG.ABU.BEBE.06,¡{mascota} quiere jugar! Sigue la línea azul.,1.1 Nacimiento y bebé · Abu,{mascota}=Toby,
DLG.ABU.BEBE.07,¿Dónde se habrá escondido el patito? Busca por la casa.,1.1 Nacimiento y bebé · Abu,,
DLG.ABU.BEBE.08,"Qué bostezo más grande… A la cuna, que se hace de noche.",1.1 Nacimiento y bebé · Abu,,
DLG.ABU.PISTA.01,¿Te ayudo? Mira hacia donde brilla.,1.1 Nacimiento y bebé · Abu,,
DLG.ABU.PISTA.02,"Sigue la flecha, tesoro. Sin prisa.",1.1 Nacimiento y bebé · Abu,,
DLG.ABU.CUMPLE1.01,¿Un año ya? ¡Si ayer cabías en una mano!,1.2 Primer cumpleaños y primera palabra · Abu,,
DLG.ABU.CUMPLE1.02,Sopla la vela. ¡Fuerte!,1.2 Primer cumpleaños y primera palabra · Abu,,
DLG.ABU.CUMPLE1.03,Tenemos tres regalos. Elige el que más te guste.,1.2 Primer cumpleaños y primera palabra · Abu,,
DLG.ABU.PASOS.01,"Agárrate al sofá… ¡eso es! Ahora, ven con Abu.",1.2 Primer cumpleaños y primera palabra · Abu,,
DLG.ABU.PASOS.02,¡Cinco pasos! ¡Esto hay que celebrarlo con una foto!,1.2 Primer cumpleaños y primera palabra · Abu,,
DLG.ABU.PALABRA.01,¿Vas a decir algo? Todos te escuchamos…,1.2 Primer cumpleaños y primera palabra · Abu,,
DLG.ABU.PALABRA.R1,¡Abu!,1.2 Primer cumpleaños y primera palabra · Respuesta del jugador,,
DLG.ABU.PALABRA.R2,¡{familiar}!,1.2 Primer cumpleaños y primera palabra · Respuesta del jugador,{familiar}=mamá,
DLG.ABU.PALABRA.R3,¡Agua!,1.2 Primer cumpleaños y primera palabra · Respuesta del jugador,,
DLG.ABU.PALABRA.R4,¡{mascota}!,1.2 Primer cumpleaños y primera palabra · Respuesta del jugador,{mascota}=Toby,
DLG.ABU.PALABRA.02,¡Lo ha dicho! ¡Lo ha dicho! Esta la guardo en el álbum.,1.2 Primer cumpleaños y primera palabra · Abu,,
DLG.ABU.SALIDA.01,¡Ya eres mayor para salir de paseo! ¿Vamos al parque?,1.3 Primera salida · Abu,,
DLG.ABU.SALIDA.02,"Por la acera, siempre de mi mano.",1.3 Primera salida · Abu,,
DLG.ABU.SALIDA.03,Paso de cebra y muñequito verde: ahora sí podemos cruzar.,1.3 Primera salida · Abu,,
DLG.ABU.SALIDA.04,¿Ves a ese peque del arenero? Se llama Nico. ¡Salúdale!,1.3 Primera salida · Abu,,
DLG.ABU.SALIDA.05,"Dos helados, por favor. Mira: se paga aquí, con la tarjeta.",1.3 Primera salida · Abu,,
DLG.ABU.SALIDA.06,Hoy has hecho tu primer amigo. Qué día más bonito.,1.3 Primera salida · Abu,,
DLG.ABU.CUMPLE3.01,¡Tres años! Ya no eres un bebé… ¡ahora empieza lo bueno!,"1.4 Tercer cumpleaños, colegio, paga y sueño · Abu",,
DLG.ABU.CUMPLE3.02,"Este regalo tiene dos ruedas… y dos ruedines, por si acaso.","1.4 Tercer cumpleaños, colegio, paga y sueño · Abu",,
DLG.ABU.COLE.01,Mochila lista. ¿Llevas el estuche? ¿Y el almuerzo?,"1.4 Tercer cumpleaños, colegio, paga y sueño · Abu",,
